State,PercentHighSchoolOrHigher,PercentBachelorsOrHigher
Montana,94,32
Wyoming,93,27
Vermont,93,38
North Dakota,93,30
New Hampshire,93,37
Minnesota,93,36
Maine,93,32
Alaska,93,30
Wisconsin,92,30
Utah,92,34
South Dakota,92,29
Iowa,92,29
Hawaii,92,33
Colorado,92,41
Washington,91,36
Pennsylvania,91,31
Oregon,91,34
Nebraska,91,32
Michigan,91,29
Massachusetts,91,44
Kansas,91,33
Idaho,91,28
Connecticut,91,39
Virginia,90,39
Ohio,90,28
New Jersey,90,40
Missouri,90,29
Maryland,90,40
Delaware,90,32
Rhode Island,89,34
Indiana,89,27
Illinois,89,35
Tennessee,88,27
South Carolina,88,28
Oklahoma,88,26
North Carolina,88,31
Florida,88,30
West Virginia,87,21
New York,87,37
Nevada,87,25
Georgia,87,31
Arkansas,87,23
Arizona,87,30
New Mexico,86,27
Kentucky,86,24
Alabama,86,26
Mississippi,85,22
Louisiana,85,24
Texas,84,30
California,83,34
