,30,31,32,33,34
DATE,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00
CT,75842,78655,80886,77494,74131
DE,62179,62325,61840,67750,66190
FL,49876,52687,54521,55365,55634
GA,53567,54784,57026,60475,56832
MA,68264,73229,76990,79517,87909
MD,82332,79416,78581,85618,87785
ME,55897,54771,54180,55605,59726
NC,50572,54815,57278,51674,54336
NH,79340,81661,81245,78877,82820
NJ,70525,73764,72943,74299,75520
NY,58707,62594,65453,64185,68493
PA,59640,65166,64965,63916,65693
RI,63380,60107,65550,68209,63394
SCA,48567,50027,57888,56879,58485
VA,71511,66350,70795,73851,78549
VT,65623,64200,64814,66416,71335
WV,42754,46212,47253,48973,51489
