,state_name,2014,2015,2016,2017,2018
14,Connecticut,3594524.0,3587122.0,3578141.0,3573297.0,3571520.0
15,Delaware,932487.0,941252.0,948921.0,956823.0,965479.0
17,Florida,19845911.0,20209042.0,20613477.0,20963613.0,21244317.0
18,Georgia,10067278.0,10178447.0,10301890.0,10410330.0,10511131.0
27,Maine,1330513.0,1328262.0,1331317.0,1334612.0,1339057.0
28,Maryland,5957283.0,5985562.0,6003323.0,6023868.0,6035802.0
29,Massachusetts,6762596.0,6794228.0,6823608.0,6859789.0,6882635.0
37,New Hampshire,1333341.0,1336350.0,1342307.0,1348787.0,1353465.0
38,New Jersey,8864525.0,8867949.0,8870827.0,8885525.0,8886025.0
40,New York,19651049.0,19654666.0,19633428.0,19589572.0,19530351.0
41,North Carolina,9932887.0,10031646.0,10154788.0,10268233.0,10381615.0
46,Pennsylvania,12788313.0,12784826.0,12782275.0,12787641.0,12800922.0
47,Rhode Island,1055936.0,1056065.0,1056770.0,1055673.0,1058287.0
48,South Carolina,4823617.0,4891938.0,4957968.0,5021268.0,5084156.0
53,Vermont,625214.0,625216.0,623657.0,624344.0,624358.0
54,Virginia,8310993.0,8361808.0,8410106.0,8463587.0,8501286.0
56,West Virginia,1849489.0,1842050.0,1831023.0,1817004.0,1804291.0
