,state_abbr,White,Black,Hispanic,Asian,Year
0,NY,0.564,0.143,0.187,0.081,2014
1,NY,0.559,0.142,0.189,0.085,2015
2,NY,0.556,0.142,0.191,0.085,2016
3,NY,0.552,0.142,0.193,0.087,2017
4,NY,0.553,0.141,0.193,0.085,2018
5,NJ,0.568,0.125,0.194,0.092,2014
6,NJ,0.562,0.124,0.197,0.095,2015
7,NJ,0.557,0.125,0.2,0.095,2016
8,NJ,0.55,0.125,0.205,0.098,2017
9,NJ,0.547,0.126,0.208,0.097,2018
10,ME,0.938,0.012,0.012,0.01,2014
11,ME,0.937,0.011,0.015,0.011,2015
12,ME,0.936,0.015,0.015,0.012,2016
13,ME,0.937,0.011,0.016,0.011,2017
14,ME,0.934,0.013,0.015,0.013,2018
15,MA,0.74,0.065,0.108,0.06,2014
16,MA,0.731,0.067,0.111,0.063,2015
17,MA,0.726,0.067,0.114,0.063,2016
18,MA,0.717,0.069,0.119,0.064,2017
19,MA,0.708,0.07,0.124,0.067,2018
20,WV,0.929,0.035,0.012,0.01,2014
21,WV,0.928,0.034,0.013,0.01,2015
22,WV,0.924,0.034,0.014,0.01,2016
23,WV,0.926,0.037,0.012,0.01,2017
24,WV,0.925,0.036,0.013,0.008,2018
25,CT,0.688,0.095,0.151,0.042,2014
26,CT,0.68,0.099,0.155,0.043,2015
27,CT,0.676,0.098,0.158,0.045,2016
28,CT,0.667,0.097,0.163,0.045,2017
29,CT,0.663,0.099,0.166,0.047,2018
30,RI,0.741,0.054,0.142,0.032,2014
31,RI,0.733,0.052,0.146,0.033,2015
32,RI,0.728,0.056,0.151,0.033,2016
33,RI,0.722,0.054,0.155,0.035,2017
34,RI,0.715,0.056,0.16,0.034,2018
35,VA,0.631,0.187,0.088,0.062,2014
36,VA,0.628,0.185,0.09,0.064,2015
37,VA,0.623,0.185,0.091,0.064,2016
38,VA,0.619,0.185,0.093,0.066,2017
39,VA,0.615,0.186,0.095,0.066,2018
40,NC,0.641,0.213,0.09,0.024,2014
41,NC,0.638,0.212,0.091,0.027,2015
42,NC,0.636,0.211,0.092,0.027,2016
43,NC,0.631,0.21,0.094,0.028,2017
44,NC,0.629,0.209,0.096,0.029,2018
45,PA,0.781,0.104,0.065,0.031,2014
46,PA,0.776,0.102,0.067,0.033,2015
47,PA,0.773,0.103,0.07,0.033,2016
48,PA,0.767,0.105,0.073,0.034,2017
49,PA,0.763,0.103,0.076,0.035,2018
50,FL,0.557,0.153,0.243,0.026,2014
51,FL,0.552,0.153,0.247,0.027,2015
52,FL,0.547,0.151,0.251,0.027,2016
53,FL,0.539,0.151,0.258,0.028,2017
54,FL,0.533,0.151,0.263,0.027,2018
55,SC,0.641,0.271,0.053,0.014,2014
56,SC,0.64,0.27,0.053,0.014,2015
57,SC,0.64,0.267,0.055,0.015,2016
58,SC,0.64,0.267,0.056,0.015,2017
59,SC,0.638,0.263,0.058,0.016,2018
60,DE,0.639,0.21,0.089,0.039,2014
61,DE,0.632,0.209,0.091,0.039,2015
62,DE,0.63,0.207,0.092,0.04,2016
63,DE,0.626,0.212,0.092,0.04,2017
64,DE,0.621,0.213,0.095,0.042,2018
65,MD,0.525,0.291,0.094,0.062,2014
66,MD,0.519,0.288,0.095,0.064,2015
67,MD,0.514,0.293,0.098,0.063,2016
68,MD,0.507,0.292,0.102,0.065,2017
69,MD,0.503,0.293,0.105,0.064,2018
70,GA,0.545,0.306,0.092,0.037,2014
71,GA,0.54,0.307,0.093,0.038,2015
72,GA,0.534,0.308,0.094,0.038,2016
73,GA,0.529,0.309,0.096,0.04,2017
74,GA,0.525,0.309,0.097,0.041,2018
75,VT,0.934,0.01,0.015,0.02,2014
76,VT,0.936,0.012,0.015,0.013,2015
77,VT,0.935,0.01,0.019,0.011,2016
78,VT,0.931,0.012,0.017,0.017,2017
79,VT,0.929,0.011,0.018,0.019,2018
