,ori,data_year,offense,state,cleared,actual,data_range,latitude,longitude,name
0,NY0010000,2014,aggravated-assault,NY,7,8,,43.299428000000006,-74.217933,New York
1,NY0010100,2014,aggravated-assault,NY,244,497,,43.299428000000006,-74.217933,New York
2,NY0010200,2014,aggravated-assault,NY,23,26,,43.299428000000006,-74.217933,New York
3,NY0010300,2014,aggravated-assault,NY,6,8,,43.299428000000006,-74.217933,New York
4,NY0012000,2014,aggravated-assault,NY,3,3,,43.299428000000006,-74.217933,New York
5,NY0012100,2014,aggravated-assault,NY,1,1,,43.299428000000006,-74.217933,New York
6,NY0012500,2014,aggravated-assault,NY,2,2,,43.299428000000006,-74.217933,New York
7,NY0015100,2014,aggravated-assault,NY,14,21,,43.299428000000006,-74.217933,New York
8,NY0015200,2014,aggravated-assault,NY,7,12,,43.299428000000006,-74.217933,New York
9,NY0015300,2014,aggravated-assault,NY,20,30,,43.299428000000006,-74.217933,New York
10,NY0015800,2014,aggravated-assault,NY,16,16,,43.299428000000006,-74.217933,New York
11,NY0020000,2014,aggravated-assault,NY,2,2,,43.299428000000006,-74.217933,New York
12,NY0022000,2014,aggravated-assault,NY,7,9,,43.299428000000006,-74.217933,New York
13,NY0022300,2014,aggravated-assault,NY,0,1,,43.299428000000006,-74.217933,New York
14,NY0022400,2014,aggravated-assault,NY,3,3,,43.299428000000006,-74.217933,New York
15,NY0022600,2014,aggravated-assault,NY,5,6,,43.299428000000006,-74.217933,New York
16,NY0022800,2014,aggravated-assault,NY,16,18,,43.299428000000006,-74.217933,New York
17,NY0025000,2014,aggravated-assault,NY,4,4,,43.299428000000006,-74.217933,New York
18,NY0027000,2014,aggravated-assault,NY,0,0,,43.299428000000006,-74.217933,New York
19,NY0030000,2014,aggravated-assault,NY,24,33,,43.299428000000006,-74.217933,New York
20,NY0010000,2014,burglary,NY,1,19,,43.299428000000006,-74.217933,New York
21,NY0010100,2014,burglary,NY,130,681,,43.299428000000006,-74.217933,New York
22,NY0010200,2014,burglary,NY,15,50,,43.299428000000006,-74.217933,New York
23,NY0010300,2014,burglary,NY,9,32,,43.299428000000006,-74.217933,New York
24,NY0012000,2014,burglary,NY,0,6,,43.299428000000006,-74.217933,New York
25,NY0012100,2014,burglary,NY,0,2,,43.299428000000006,-74.217933,New York
26,NY0012500,2014,burglary,NY,0,9,,43.299428000000006,-74.217933,New York
27,NY0015100,2014,burglary,NY,18,58,,43.299428000000006,-74.217933,New York
28,NY0015200,2014,burglary,NY,10,58,,43.299428000000006,-74.217933,New York
29,NY0015300,2014,burglary,NY,36,187,,43.299428000000006,-74.217933,New York
30,NY0015800,2014,burglary,NY,14,14,,43.299428000000006,-74.217933,New York
31,NY0020000,2014,burglary,NY,0,0,,43.299428000000006,-74.217933,New York
32,NY0022000,2014,burglary,NY,2,6,,43.299428000000006,-74.217933,New York
33,NY0022300,2014,burglary,NY,3,4,,43.299428000000006,-74.217933,New York
34,NY0022400,2014,burglary,NY,0,0,,43.299428000000006,-74.217933,New York
35,NY0022600,2014,burglary,NY,1,5,,43.299428000000006,-74.217933,New York
36,NY0022800,2014,burglary,NY,15,40,,43.299428000000006,-74.217933,New York
37,NY0025000,2014,burglary,NY,0,5,,43.299428000000006,-74.217933,New York
38,NY0027000,2014,burglary,NY,1,3,,43.299428000000006,-74.217933,New York
39,NY0030000,2014,burglary,NY,14,121,,43.299428000000006,-74.217933,New York
40,NY0010000,2014,larceny,NY,31,90,,43.299428000000006,-74.217933,New York
41,NY0010100,2014,larceny,NY,378,3073,,43.299428000000006,-74.217933,New York
42,NY0010200,2014,larceny,NY,51,153,,43.299428000000006,-74.217933,New York
43,NY0010300,2014,larceny,NY,37,152,,43.299428000000006,-74.217933,New York
44,NY0012000,2014,larceny,NY,6,37,,43.299428000000006,-74.217933,New York
45,NY0012100,2014,larceny,NY,0,0,,43.299428000000006,-74.217933,New York
46,NY0012500,2014,larceny,NY,38,106,,43.299428000000006,-74.217933,New York
47,NY0015100,2014,larceny,NY,144,385,,43.299428000000006,-74.217933,New York
48,NY0015200,2014,larceny,NY,306,598,,43.299428000000006,-74.217933,New York
49,NY0015300,2014,larceny,NY,724,1786,,43.299428000000006,-74.217933,New York
50,NY0015800,2014,larceny,NY,44,44,,43.299428000000006,-74.217933,New York
51,NY0020000,2014,larceny,NY,1,4,,43.299428000000006,-74.217933,New York
52,NY0022000,2014,larceny,NY,3,25,,43.299428000000006,-74.217933,New York
53,NY0022300,2014,larceny,NY,0,2,,43.299428000000006,-74.217933,New York
54,NY0022400,2014,larceny,NY,4,4,,43.299428000000006,-74.217933,New York
55,NY0022600,2014,larceny,NY,15,40,,43.299428000000006,-74.217933,New York
56,NY0022800,2014,larceny,NY,42,114,,43.299428000000006,-74.217933,New York
57,NY0025000,2014,larceny,NY,5,12,,43.299428000000006,-74.217933,New York
58,NY0027000,2014,larceny,NY,1,6,,43.299428000000006,-74.217933,New York
59,NY0030000,2014,larceny,NY,95,525,,43.299428000000006,-74.217933,New York
60,NY0010000,2014,motor-vehicle-theft,NY,1,7,,43.299428000000006,-74.217933,New York
61,NY0010100,2014,motor-vehicle-theft,NY,17,122,,43.299428000000006,-74.217933,New York
62,NY0010200,2014,motor-vehicle-theft,NY,7,21,,43.299428000000006,-74.217933,New York
63,NY0010300,2014,motor-vehicle-theft,NY,6,16,,43.299428000000006,-74.217933,New York
64,NY0012000,2014,motor-vehicle-theft,NY,0,3,,43.299428000000006,-74.217933,New York
65,NY0012100,2014,motor-vehicle-theft,NY,0,0,,43.299428000000006,-74.217933,New York
66,NY0012500,2014,motor-vehicle-theft,NY,1,3,,43.299428000000006,-74.217933,New York
67,NY0015100,2014,motor-vehicle-theft,NY,4,11,,43.299428000000006,-74.217933,New York
68,NY0015200,2014,motor-vehicle-theft,NY,1,5,,43.299428000000006,-74.217933,New York
69,NY0015300,2014,motor-vehicle-theft,NY,6,37,,43.299428000000006,-74.217933,New York
70,NY0015800,2014,motor-vehicle-theft,NY,5,5,,43.299428000000006,-74.217933,New York
71,NY0020000,2014,motor-vehicle-theft,NY,0,0,,43.299428000000006,-74.217933,New York
72,NY0022000,2014,motor-vehicle-theft,NY,0,1,,43.299428000000006,-74.217933,New York
73,NY0022300,2014,motor-vehicle-theft,NY,0,0,,43.299428000000006,-74.217933,New York
74,NY0022400,2014,motor-vehicle-theft,NY,0,0,,43.299428000000006,-74.217933,New York
75,NY0022600,2014,motor-vehicle-theft,NY,0,0,,43.299428000000006,-74.217933,New York
76,NY0022800,2014,motor-vehicle-theft,NY,1,2,,43.299428000000006,-74.217933,New York
77,NY0025000,2014,motor-vehicle-theft,NY,0,0,,43.299428000000006,-74.217933,New York
78,NY0027000,2014,motor-vehicle-theft,NY,0,0,,43.299428000000006,-74.217933,New York
79,NY0030000,2014,motor-vehicle-theft,NY,6,27,,43.299428000000006,-74.217933,New York
80,NY0010000,2014,homicide,NY,1,1,,43.299428000000006,-74.217933,New York
81,NY0010100,2014,homicide,NY,6,8,,43.299428000000006,-74.217933,New York
82,NY0010200,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
83,NY0010300,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
84,NY0012000,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
85,NY0012100,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
86,NY0012500,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
87,NY0015100,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
88,NY0015200,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
89,NY0015300,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
90,NY0015800,2014,homicide,NY,1,1,,43.299428000000006,-74.217933,New York
91,NY0020000,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
92,NY0022000,2014,homicide,NY,1,1,,43.299428000000006,-74.217933,New York
93,NY0022300,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
94,NY0022400,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
95,NY0022600,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
96,NY0022800,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
97,NY0025000,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
98,NY0027000,2014,homicide,NY,0,0,,43.299428000000006,-74.217933,New York
99,NY0030000,2014,homicide,NY,1,1,,43.299428000000006,-74.217933,New York
100,NY0010000,2014,rape,NY,0,0,,43.299428000000006,-74.217933,New York
101,NY0010000,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
102,NY0010100,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
103,NY0010100,2014,rape,NY,12,51,,43.299428000000006,-74.217933,New York
104,NY0010200,2014,rape,NY,5,5,,43.299428000000006,-74.217933,New York
105,NY0010200,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
106,NY0010300,2014,rape,NY,1,5,,43.299428000000006,-74.217933,New York
107,NY0010300,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
108,NY0012000,2014,rape,NY,0,0,,43.299428000000006,-74.217933,New York
109,NY0012000,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
110,NY0012100,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
111,NY0012100,2014,rape,NY,0,0,,43.299428000000006,-74.217933,New York
112,NY0012500,2014,rape,NY,1,1,,43.299428000000006,-74.217933,New York
113,NY0012500,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
114,NY0015100,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
115,NY0015100,2014,rape,NY,6,9,,43.299428000000006,-74.217933,New York
116,NY0015200,2014,rape,NY,2,6,,43.299428000000006,-74.217933,New York
117,NY0015200,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
118,NY0015300,2014,rape-legacy,NY,0,0,,43.299428000000006,-74.217933,New York
119,NY0015300,2014,rape,NY,6,6,,43.299428000000006,-74.217933,New York
120,NY0010000,2014,robbery,NY,0,0,,43.299428000000006,-74.217933,New York
121,NY0010100,2014,robbery,NY,69,236,,43.299428000000006,-74.217933,New York
122,NY0010200,2014,robbery,NY,9,12,,43.299428000000006,-74.217933,New York
123,NY0010300,2014,robbery,NY,6,10,,43.299428000000006,-74.217933,New York
124,NY0012000,2014,robbery,NY,0,0,,43.299428000000006,-74.217933,New York
